,E0010,E0011,E0012,E0013,E0014,E0015,E0016,E0017,E0018,E0019,E0020,E0021,E0022,E0023,E0024,E0025,E0026,E0027,E0028,E0029,E0030,E0031,E0032,E0033,E0034,E0035,E0036,E0037,E0038,E0039,E0040,E0041,E0042,E0043,E0044,E0045,E0046,E0047,E0048,E0049,E0050,E0051,E0052,E0053,E0054,E0055,E0056,E0057,E0058,E0059,E0060,E0061,E0062,E0063,E0064,E0065,E0066,E0067,E0068,E0069,E0070,E0071,E0072,E0073,E0074,E0075,E0076,E0077,E0078,E0079,E0080,E0081,E0082,E0083,E0084,E0085,E0086,E0087,E0088,E0089,E0090,E0091,E0092,E0093,E0094,E0095,E0096,E0097,E0098,E0099,E0100,E0101,E0102,E0103,E0104,E0105,E0106,E0107,E0108,E0109
11-Jan,4996.269773,4994.45729,5001.273566,5015.992787,5001.667715,5071.521818,5072.145067,5025.230716,4997.301187,5057.392006,5076.713475,5043.793641,5033.893002,5014.188776,5082.093134,5010.457354,5004.848728,5043.447686,5007.455704,5067.880196,5022.092945,5148.617347,5001.644512,5003.897354,5066.904192,5003.334405,5057.970412,5065.634339,5052.332255,5047.402751,4987.489124,5011.299055,4988.408718,4984.749693,5058.576493,5030.157358,5053.034197,5083.253822,5048.946626,5007.177841,4984.494277,5010.901793,4995.800285,5064.860256,4991.109972,5071.219083,4996.035859,4999.326792,5145.478829,4999.855224,5056.29509,5032.943601,5117.12492,5083.829135,5060.68136,5011.404584,5035.47774,5055.844845,4994.521613,5063.53911,5116.672339,5081.735597,5014.155344,5048.162843,4997.967129,5038.690475,4989.867395,5061.928967,4994.230637,5048.619503,5020.572799,5078.263376,5001.453143,5109.476894,5014.989974,5041.245963,5047.605976,5004.077433,5062.871887,5077.512444,4989.218594,5081.715071,5066.57692,4991.731811,5033.180579,5038.566816,5016.709938,5023.087149,5161.909266,4989.308337,5028.677923,4985.788914,5009.987441,5020.933152,5082.355969,5006.502029,5020.878088,5073.888643,5075.648839,5016.80019
12-Jan,1944.070262,1921.418523,1855.270617,1862.241778,1936.560153,1869.987069,1935.383601,1859.236731,1905.20965,1870.989745,1901.117362,2171.996207,1857.85066,1870.750414,1981.209724,1886.137835,1891.106877,1932.702052,1935.370242,1850.23856,1934.660776,1893.193514,2013.500154,1878.721787,1924.373835,1891.051962,1865.095837,1918.040043,1887.097061,1945.376077,1921.968713,1914.691497,1918.506655,1916.558514,1858.528144,1875.988236,1925.5939,1924.587803,1863.814556,1892.024496,1958.176838,1979.912942,1939.055664,1883.544458,1889.251327,1951.648104,1873.044077,1865.910339,1910.959232,1932.849651,2150.711218,1892.555064,1909.693646,1853.764432,1908.858484,1922.544921,1891.798856,1921.524231,1918.050832,1865.295758,1899.580368,1864.122329,1877.90385,1870.087147,1869.844178,1955.014811,1930.525877,1870.890172,1901.431764,1921.829326,1890.977736,1932.613515,1921.074909,1910.16127,1945.234761,1915.808286,1926.768342,1863.346502,1858.335394,1900.7716,1939.932995,1928.671612,1945.053755,1945.42621,1889.310162,1901.822768,1888.628279,1942.126647,1935.767934,1867.095468,1919.692036,1942.353215,1851.616487,1862.675876,1865.600877,1926.972102,1876.102123,1883.596711,1894.963302,1916.875901
13-Jan,11042.38136,10974.99319,11010.87176,11122.65111,10962.80158,11095.7831,10979.94975,10965.48621,11048.11864,11034.64273,11002.65142,11001.27654,11017.55024,10979.10419,10970.06651,11007.84771,11008.55175,11054.69696,10969.38022,11019.22989,11035.76727,11001.17375,10977.44992,11040.95434,10997.73842,11013.8401,10984.44171,10967.54893,11060.23942,10973.89828,11044.57571,11056.64105,10993.58372,11015.54955,11024.69195,10981.46861,10995.47636,10998.84269,11030.63522,11057.27246,11001.51046,11006.08374,10996.04922,11013.28877,11048.1391,11052.60189,10966.02513,11028.96687,11048.70429,11011.65236,10999.19129,11006.60418,10965.96614,10996.21866,11021.06193,10997.51268,11060.48079,11052.89498,11039.25852,11000.91593,11024.79691,11040.25804,11033.04846,11122.90497,11158.96535,11042.45601,11005.04082,11288.01301,10996.03409,10987.87753,11028.55443,11013.63026,10988.88893,10963.90988,10993.96644,11038.3642,11026.85524,10979.75162,11032.22858,11024.02423,10983.68853,11002.24151,11062.39782,11029.52123,11037.44944,11061.00218,11120.6823,11000.00742,11033.52356,10983.25244,11004.11645,11008.06742,10988.58836,11024.03008,10968.45026,11056.60765,11044.32331,11076.10467,10986.11528,11047.47352
14-Jan,2082.003817,2074.310666,2064.965313,2069.61787,2157.89442,2157.702773,2078.447575,2128.32459,2081.858394,2095.609099,2160.206138,2097.268795,2110.336348,2090.03778,2099.353707,2159.303931,2122.623862,2106.914264,2133.859839,2070.776602,2153.177197,2145.5186,2108.213195,2153.045176,2230.579079,2100.635871,2073.903684,2070.805493,2069.389485,2086.850723,2145.560309,2135.600787,2128.59293,2148.537251,2113.831215,2106.876728,2155.865714,2076.031257,2102.253604,2064.225323,2105.816811,2125.283288,2065.099794,2088.63453,2128.454615,2261.099229,2075.169887,2083.19413,2074.648375,2129.80458,2100.425373,2143.357664,2117.801248,2087.674822,2121.35385,2162.596395,2154.51796,2125.380677,2088.041729,2162.685004,2125.503913,2086.926174,2160.083467,2158.590169,2087.939906,2151.833285,2096.924036,2194.467961,2107.711785,2130.065799,2081.245321,2153.075199,2079.395498,2140.116921,2151.766937,2120.996248,2077.78127,2064.399481,2123.51671,2076.282029,2143.12585,2102.904448,2068.580706,2133.276241,2134.940617,2144.186935,2070.561965,2063.533542,2109.600655,2160.503606,2095.051615,2089.539321,2092.057948,2153.245614,2119.810375,2115.495341,2118.503044,2083.784867,2158.330955,2215.121152
15-Jan,3447.661572,3464.952008,3445.261318,3401.89006,3450.566119,3368.179989,3430.463139,3398.495808,3463.689056,3440.547836,3425.952828,3410.159553,3451.269682,3404.596641,3405.139467,3439.822762,3481.227615,3407.291532,3370.977648,3384.727549,3401.316708,3465.429726,3445.224913,3391.593711,3454.24889,3455.53696,3432.910355,3379.728848,3401.235277,3506.762214,3380.990384,3436.685388,3434.965502,3457.877931,3423.849326,3448.881922,3457.215699,3479.378997,3441.208528,3385.206202,3398.274015,3410.320673,3508.814415,3412.796286,3433.056734,3462.618752,3419.857008,3432.680561,3369.639007,3457.920811,3433.250947,3368.732215,3397.291317,3387.294639,3455.380377,3388.34312,3559.577547,3452.396562,3442.218155,3398.096199,3423.592232,3394.561297,3428.125772,3440.178627,3382.018512,3442.08411,3406.114009,3402.94471,3371.964091,3401.116648,3440.798878,3393.183231,3368.487085,3394.146281,3394.722293,3432.380178,3442.826405,3421.409696,3465.6584,3384.745288,3402.153944,3408.479248,3420.183676,3417.107129,3428.224593,3460.524088,3385.95394,3415.061898,3382.653157,3383.9261,3446.878119,3452.507622,3456.505629,3431.733808,3486.76593,3467.562067,3455.973761,3370.30732,3374.437377,3440.414321
16-Jan,4566.052302,4591.870863,4548.275801,4509.562235,4559.630288,4586.588133,4593.436018,4518.79191,4509.769566,4589.157327,4583.711218,4554.721352,4603.086699,4567.078227,4564.012281,4567.455841,4617.405119,4584.481232,4598.627696,4588.120314,4512.744687,4535.445287,4565.576379,4537.791453,4520.525513,4578.952645,4514.865244,4576.668004,4555.53877,4545.258791,4569.565737,4582.953922,4536.891562,4520.269669,4554.993349,4535.669807,4575.70628,4570.193163,4597.837194,4510.722087,4555.868272,4564.708379,4561.743406,4571.258033,4512.034833,4528.006281,4537.89231,4601.661053,4561.962027,4572.834012,4562.0955,4542.835086,4516.653633,4576.453865,4604.387522,4562.900939,4612.469552,4630.549493,4606.199625,4582.654738,4545.951924,4538.593438,4520.594863,4553.534559,4526.815298,4519.704734,4566.215618,4520.899156,4535.072715,4564.074028,4536.106399,4595.548681,4556.730375,4577.741554,4570.556264,4576.764414,4522.689088,4524.881324,4523.072778,4516.601665,4576.431909,4553.014938,4545.923375,4586.656519,4558.931139,4571.613154,4521.890012,4567.576855,4519.755408,4510.338924,4529.12489,4554.233745,4531.846635,4575.79883,4603.063511,4580.26187,4589.516332,4517.000416,4514.229271,4591.188001
17-Jan,9543.85515,9498.029953,9571.611303,9507.177086,9512.354774,9549.769461,9567.179402,9539.202328,9520.907599,9549.430882,9643.65032,9487.163099,9541.307888,9549.807112,9480.047429,9530.447031,9644.60288,9493.884374,9560.217064,9547.148619,9491.955651,9524.907521,9617.846873,9528.01493,9524.210184,9571.185188,9492.732821,9474.83947,9488.572675,9512.620182,9496.180597,9524.905735,9561.87715,9552.56396,9573.957381,9516.502052,9483.933976,9489.836612,9488.23836,9525.233417,9544.358297,9560.928039,9485.217744,9495.601632,9554.197915,9525.993572,9518.539754,9562.142415,9488.720542,9518.246913,9536.236361,9563.44208,9574.008416,9557.929648,9635.24341,9572.366397,9535.443676,9531.356568,9480.833575,9531.039031,9559.72859,9572.306053,9529.880691,9475.90479,9501.4262,9498.726376,9535.228199,9557.305783,9512.57219,9529.345961,9494.100754,9546.709192,9524.990263,9556.631596,9669.765907,9672.961187,9571.291186,9522.116296,9504.546397,9524.055834,9507.517502,9506.398791,9515.476366,9497.702013,9524.805266,9474.567339,9509.367987,9571.929781,9552.016016,9531.937099,9509.642311,9553.720617,9566.022979,9523.337687,9500.356942,9518.550408,9507.571693,9514.33863,9504.808966,9525.005076
18-Jan,2218.716313,2158.838152,2208.961153,2164.143721,2163.682307,2207.635776,2214.971132,2180.930758,2197.638362,2337.352707,2149.771371,2147.308245,2529.345275,2204.3447,2180.21984,2259.1174,2221.821818,2191.577927,2165.792977,2212.839212,2223.791485,2158.111613,2214.033178,2243.39677,2233.370527,2222.335839,2210.50479,2180.849144,2195.221047,2154.415157,2236.652972,2147.399228,2202.048665,2146.179531,2159.52021,2180.365465,2204.117374,2169.877476,2193.922121,2184.856807,2225.709232,2238.942165,2151.408388,2242.503,2289.013122,2174.077409,2190.207869,2156.155546,2238.508986,2253.380015,2186.29434,2231.017867,2230.035329,2240.438737,2221.080843,2205.86624,2199.036541,2302.295368,2211.080261,2200.944716,2242.662592,2210.412198,2227.095444,2215.834848,2185.81289,2237.303258,2258.104678,2223.866647,2207.978526,2172.203477,2144.63938,2337.723484,2221.949964,2168.40948,2166.029429,2197.354772,2242.596064,2184.328154,2199.158242,2222.333572,2168.553239,2215.009343,2162.528852,2214.142913,2196.856504,2161.561825,2210.471801,2234.840523,2197.885337,2185.862191,2201.008566,2243.088855,2189.172649,2145.838474,2161.497853,2190.270071,2220.794719,2230.030688,2181.547695,2153.146465
19-Jan,9453.800695,9454.635935,9525.108102,9463.568055,9463.971906,9481.767674,9469.187331,9441.350007,9460.577752,9504.092556,9500.973954,9531.901059,9479.731192,9531.535787,9446.235162,9508.375997,9459.042721,9521.076621,9476.928531,9500.994875,9500.814619,9474.648067,9457.93068,9464.714977,9521.217302,9485.34013,9485.394442,9465.146253,9443.840041,9486.42473,9465.241739,9452.346816,9526.796316,9480.110728,9526.900161,9511.973994,9524.595373,9438.919182,9527.766709,9462.404147,9531.534255,9453.666029,9497.056431,9437.430397,9628.023665,9478.021101,9455.513323,9435.009817,9506.935237,9519.234976,9438.880256,9531.041334,9465.457659,9531.473851,9511.917808,9490.348711,9457.264152,9462.262748,9471.955317,9522.298361,9489.688932,9477.962011,9441.334829,9450.807965,9524.181641,9444.951039,9454.761607,9486.821664,9462.331326,9523.43057,9532.358665,9533.031331,9510.203842,9513.238399,9498.25083,9526.357896,9502.535634,9528.729569,9487.86316,9443.62097,9534.690352,9514.124192,9460.315079,9598.154612,9515.201957,9444.154318,9522.175919,9451.493191,9498.953155,9465.572116,9445.60084,9453.828061,9487.574866,9459.420387,9438.789635,9481.838036,9474.732112,9516.076179,9480.749104,9525.380566
20-Jan,5706.804517,5845.899159,5729.688963,5709.411277,5675.099597,5732.890327,5706.143024,5718.948816,5721.821827,5696.645809,5721.535253,5679.641207,5718.867494,5837.972028,5702.825529,5669.398396,5744.232745,5745.808785,5682.276365,5731.736289,5755.818914,5678.524901,5757.635038,5762.465685,5744.1738,5686.806145,5706.156962,5672.131823,5738.080539,5674.328326,5690.501359,5752.931709,5732.473601,5753.310804,5667.822198,5724.575654,5755.958683,5721.648627,5733.961729,5669.632111,5722.633027,5684.003171,5698.178919,5717.410859,5760.561848,5752.499248,5706.460183,5749.642607,5711.983606,5715.480997,5683.739479,6029.707298,5699.55549,5758.870061,5703.122539,5761.486814,5746.348307,5752.154355,5847.859827,5713.034948,5667.13617,5758.809365,5699.492336,5685.024083,5677.01145,6056.255372,5708.230211,5682.833722,5734.394911,5709.546684,5670.799908,5746.575587,5669.485931,5759.0205,5724.796027,5739.899837,5713.205242,5755.765114,5690.116299,5699.477165,5705.570112,5678.282798,5687.977692,5727.666719,5675.313,5755.572083,5675.777004,5674.376864,5746.412798,5685.505621,5824.377522,5709.899437,5721.944033,5708.43911,5721.893601,5706.693965,5689.595359,5724.138586,5687.082673,5736.27938
21-Jan,6708.924464,6665.993939,6642.089335,6670.198347,6663.489421,6613.353216,6640.513601,6617.364212,6627.455815,6619.346651,6620.321883,6695.723611,6688.776743,6655.771798,6667.811424,6612.193387,6662.064054,6669.820784,6641.382895,6682.166763,6694.816645,6690.109325,6642.6405,6622.685947,6672.649639,6666.157138,6629.320959,6683.345101,6644.582132,6706.718701,6696.970839,6662.571735,6665.11913,6636.349546,6661.564954,6643.829835,6695.926688,6638.200883,6636.671924,6616.807826,6690.103532,6617.298301,6647.220379,6689.944575,6655.981948,6622.972521,6669.814296,6646.882329,6695.526113,6616.297941,6683.527322,6611.140433,6634.443782,6637.214318,6641.506337,6683.650445,6620.00561,6700.520369,6673.008626,6670.232924,6646.359945,6629.763908,6771.617108,6634.475955,6642.734079,6677.519874,6634.669484,6618.809749,6660.056659,6655.929048,6697.223443,6652.545463,6629.92602,6688.02012,6695.418478,6798.231037,6673.286561,6704.292175,6672.205476,6699.927028,6613.487707,6632.066118,6611.952895,6700.619719,6638.349666,6743.392117,6663.74664,6655.696735,6632.080992,6613.859903,6685.924876,6703.69169,6705.286701,6704.093456,6647.352197,6680.06423,6648.694055,6632.082522,6708.12145,6776.162023
